[17:06:06.536] [info]   Save56_F3D415A1_1_6131323334343536_Tamriel_000646_20211213210153_21_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save58_F3D415A1_1_6131323334343536_DustmansCairn02_000710_20211213212838_21_1 -- player '' () at 'Dustman's Crypt', playtime 
[17:06:06.536] [info]   Save59_F3D415A1_1_6131323334343536_DustmansCairn02_000719_20211213213723_22_1 -- player '' () at 'Dustman's Crypt', playtime 
[17:06:06.536] [info]   Save60_F3D415A1_1_6131323334343536_DustmansCairn02_000722_20211213214027_22_1 -- player '' () at 'Dustman's Crypt', playtime 
[17:06:06.536] [info]   Save61_F3D415A1_1_6131323334343536_WhiterunArcadiasCauldron_000746_20211213221325_22_1 -- player '' () at 'Arcadia's Cauldron', playtime 
[17:06:06.536] [info]   Save62_F3D415A1_1_6131323334343536_WhiterunBelethorsGeneralGoods_000752_20211213222141_22_1 -- player '' () at 'Belethor's General Goods', playtime 
[17:06:06.536] [info]   Save63_F3D415A1_1_6131323334343536_WhiterunBelethorsGeneralGoods_000752_20211213222212_22_1 -- player '' () at 'Belethor's General Goods', playtime 
[17:06:06.536] [info]   Save64_F3D415A1_1_6131323334343536_WhiterunBelethorsGeneralGoods_000753_20211213222334_22_1 -- player '' () at 'Belethor's General Goods', playtime 
[17:06:06.536] [info]   Save65_F3D415A1_1_6131323334343536_RiftenWorld_000836_20211213230629_22_1 -- player '' () at 'Riften', playtime 
[17:06:06.536] [info]   Save66_F3D415A1_1_6131323334343536_RiftenWorld_000838_20211213230755_22_1 -- player '' () at 'Riften', playtime 
[17:06:06.536] [info]   Save67_F3D415A1_1_6131323334343536_RiftenHonorhallOrphanage_000839_20211213230948_22_1 -- player '' () at 'Honorhall Orphanage', playtime 
[17:06:06.536] [info]   Save68_F3D415A1_1_6131323334343536_RiftenRaggedFlagon_000856_20211213232621_22_1 -- player '' () at 'The Ragged Flagon', playtime 
[17:06:06.536] [info]   Save69_F3D415A1_1_6131323334343536_RiftenRaggedFlagon_000902_20211213233248_22_1 -- player '' () at 'The Ragged Flagon', playtime 
[17:06:06.536] [info]   Save70_F3D415A1_1_6131323334343536_RiftenBeeandBarb_000906_20211213233615_22_1 -- player '' () at 'The Bee and Barb', playtime 
[17:06:06.536] [info]   Save71_F3D415A1_1_6131323334343536_RiftenThievesGuildHeadquarters_000912_20211213234210_22_1 -- player '' () at 'The Ragged Flagon - Cistern', playtime 
[17:06:06.536] [info]   Save72_F3D415A1_1_6131323334343536_Tamriel_000959_20211214002914_22_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save73_F3D415A1_1_6131323334343536_Tamriel_001011_20211214004124_22_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save74_F3D415A1_1_6131323334343536_Tamriel_001013_20211214004256_22_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save75_F3D415A1_1_6131323334343536_GoldenglowEstate01_001016_20211214004651_22_1 -- player '' () at 'Goldenglow Estate', playtime 
[17:06:06.536] [info]   Save77_F3D415A1_1_6131323334343536_HelgenKeep01_001117_20211214014912_23_1 -- player '' () at 'Helgen Keep', playtime 
[17:06:06.536] [info]   Save78_F3D415A1_1_6131323334343536_Tamriel_001127_20211214020208_23_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save79_F3D415A1_1_6131323334343536_Tamriel_001149_20211214022417_24_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save80_F3D415A1_1_6131323334343536_Tamriel_001203_20211214024813_24_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save81_F3D415A1_1_6131323334343536_Tamriel_001208_20211214025317_24_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save82_F3D415A1_1_6131323334343536_Tamriel_001210_20211214025512_24_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save83_F3D415A1_1_6131323334343536_Korvanjund02_001229_20211214031408_24_1 -- player '' () at 'Korvanjund Halls', playtime 
[17:06:06.536] [info]   Save84_F3D415A1_1_6131323334343536_Tamriel_001301_20211214034833_24_1 -- player '' () at 'Skyrim', playtime 
[17:06:06.536] [info]   Save85_F3D415A1_1_6131323334343536_WhiterunBelethorsGeneralGoods_001309_20211214035718_24_1 -- player '' () at 'Belethor's General Goods', playtime 
[17:06:06.536] [info]   Save86_F3D415A1_1_6131323334343536_WhiterunBelethorsGeneralGoods_001310_20211214035817_24_1 -- player '' () at 'Belethor's General Goods', playtime 
